sex,fatal (y/n),activity,time of the day
F,N,Paddling,Evening
M,N,Surfing,Morning
M,N,Walking,Evening
M,N,Standing,Afternoon
M,N,Swimming,Afternoon
M,N,Fishing,Morning
M,N,Surfing,Morning
M,N,Surfing,Morning
M,N,Scuba diving,Morning
M,N,Surfing,Afternoon
M,N,Surfing,Morning
M,N,Surfing,Morning
M,N,Fishing,Night
M,N,Paddle-skiing,Morning
M,N,Surfing,Morning
M,N,Swimming,Evening
M,N,Surfing,Afternoon
M,N,Stand-Up Paddleboarding,Morning
M,N,Wading,Evening
M,N,Swimming,Afternoon
M,N,Surfing,Morning
M,N,Walking,Afternoon
F,N,Swimming,Evening
M,N,Spearfishing,Afternoon
M,N,Diving,Afternoon
F,N,Surfing,Evening
F,N,Surfing,Afternoon
M,N,Spearfishing,Afternoon
M,N,Surfing,Afternoon
M,Y,Night bathing,Night
M,N,Surfing,Morning
M,N,Stand-Up Paddleboarding,Afternoon
M,N,Surfing ,Evening
F,N,Swimming,Morning
M,N,Kayaking,Morning
M,N,Swimming,Afternoon
M,N,Surfing,Evening
F,N,Snorkeling,Afternoon
M,N,Surfing,Evening
M,N,Surfing,Afternoon
M,N,Surfing,Afternoon
M,N,Surfing,Evening
M,N,Surfing,Morning
M,N,Surfing,Morning
M,N,Surfing,Morning
F,N,Wading,Afternoon
M,N,SUP,Morning
M,N,Spearfishing,Afternoon
M,N,Swimming,Afternoon
M,N,Fishing,Night
M,N,Kayaking / Fishing,Morning
M,N,Skimboarding,Evening
M,N,Surfing,Evening
M,N,Kayaking,Morning
M,N,SUP,Morning
M,N,Surfing,Morning
M,N,Kayaking,Morning
F,N,Surfing,Afternoon
M,N,Body boarding,Morning
M,N,Swimming,Afternoon
M,N,Body boarding,Morning
F,N,Surfing,Afternoon
M,Y,Snorkeling,Evening
F,N,Swimming,Evening
M,N,Surfing,Evening
F,N,Surfing,Morning
M,Y,Body boarding,Morning
F,N,Body boarding,Afternoon
F,N,Snorkeling,Afternoon
F,Y,Surfing,Afternoon
M,N,Surfing,Afternoon
F,N,Surfing,Afternoon
F,N,Surfing,Afternoon
F,N,Paddle boarding,Evening
F,N,Swimming,Evening
F,N,Swimming,Afternoon
F,N,Swimming,Afternoon
M,N,Body boarding,Evening
M,N,Kayaking,Afternoon
M,Y,Body boarding,Morning
M,N,Spearfishing,Morning
M,N,Swimming,Afternoon
M,N,Scuba Diving,Afternoon
M,N,Wading,Afternoon
M,N,Surf skiing ,Morning
M,N,Free diving,Morning
M,N,Surf fishing,Night
M,N,Fishing,Morning
F,N,Floating,Morning
F,N,Snorkeling,Morning
M,N,Surfing,Morning
M,N,Surfng,Evening
M,N,Surfing,Morning
M,N,Surfing,Afternoon
M,N,Surfing,Morning
M,N,Wading,Afternoon
F,N,Swimming,Afternoon
M,Y,Kite surfing,Afternoon
M,N,Wading,Afternoon
M,N,SUP Foil boarding,Afternoon
M,N,Swimming,Morning
M,N,Surfing,Afternoon
M,N,Surfing,Evening
M,N,Kite surfing,Evening
M,N,Fishing,Morning
M,N,Fishing,Night
M,N,Surfing,Afternoon
M,N,Scuba Diving,Morning
M,N,Floating,Afternoon
M,N,Wading,Afternoon
F,N,Floating in tube,Evening
M,N,Standing,Afternoon
M,N,Swimming,Morning
F,Y,Diving,Morning
M,Y,Surfing,Afternoon
F,N,Swimming,Afternoon
M,N,Swimming,Afternoon
F,N,Swimming,Afternoon
F,N,Swimming,Evening
F,N,Teasing a shark,Afternoon
M,N,Floating,Afternoon
M,N,Surfing,Evening
M,N,Surf-skiing,Morning
F,Y,Walking,Morning
F,N,Snorkeling,Morning
M,N,Surfing,Evening
M,N,Body surfing,Afternoon
M,N,Kite surfing,Evening
M,N,Spearfishing,Afternoon
F,N,Wading,Afternoon
F,N,Walking,Afternoon
F,N,Surfing,Morning
M,N,Spearfishing,Morning
M,N,Snorkeling,Morning
F,N,Swimming,Morning
M,N,Surfing,Evening
M,N,Swimming,Morning
F,N,Wading,Afternoon
M,N,Fishing,Night
M,N,Body boarding,Afternoon
M,N,Surfing,Afternoon
M,N,Surfing,Afternoon
M,N,Kayak Fishing,Morning
F,N,Boogie boarding,Afternoon
M,N,Surfing,Morning
M,N,Body boarding,Afternoon
M,N,Wading,Morning
M,N,Surfing,Morning
M,N,Surfing,Afternoon
M,N,Surfing,Afternoon
M,N,Spearfishing,Afternoon
M,N,Photographing fish,Morning
M,N,Swimming,Evening
M,N,Surfing,Morning
F,N,Stand-Up Paddleboarding,Evening
M,N,Kayak Fishing,Afternoon
M,N,Surf-skiing,Morning
F,N,Wading,Morning
F,N,Surfing,Morning
M,N,Surfing,Afternoon
F,N,Walking,Afternoon
M,N,Kayak Fishing,Morning
M,N,Spearfishing,Morning
M,Y,Scallop diving on hookah,Morning
M,N,Surfing,Morning
M,N,Body boarding ,Morning
M,N,Swimming,Afternoon
M,N,Playing in the water,Evening
M,N,Swimming,Afternoon
M,N,Body Boarding,Afternoon
M,N,Standing,Morning
M,N,Body surfing?,Morning
M,N,Swimming,Afternoon
F,N,Surfing,Morning
M,N,Swimming,Afternoon
M,N,Wading,Evening
F,N,Wading,Afternoon
F,N,Boogie boarding,Afternoon
M,N,Playing,Morning
F,N,Standing,Afternoon
F,N,Wading,Afternoon
M,N,Diving,Afternoon
F,Y,Snorkeling,Morning
M,N,Wading,Afternoon
M,N,Surfing,Morning
M,N,Surf skiing ,Morning
M,Y,Surfing,Morning
M,N,Paddle boarding,Morning
M,N,Standing / Snorkeling,Morning
M,N,Hand feeding sharks,Morning
M,N,Fishing,Morning
F,Y,Swimming,Evening
M,Y,Surfing,Morning
M,N,Surfing,Morning
M,N,Rowing,Morning
M,N,Shark fishing,Night
M,N,Fishing,Afternoon
M,Y,Spearfishing,Morning
M,N,Fishing for blue sharks,Morning
M,N,Snorkeling,Afternoon
M,N,Surfing,Morning
F,N,Stand-Up Paddleboarding,Morning
M,N,Stand-Up Paddleboarding,Morning
M,N,Surfing,Morning
F,N,Surfing,Morning
F,N,Body surfing or Boogie boarding,Afternoon
M,N,Kayaking,Evening
M,N,Kayaking,Afternoon
M,N,Kayaking ,Morning
M,Y,Swimming,Morning
M,N,Fishing ,Afternoon
F,N,Kayaking ,Evening
M,N,Fishing,Evening
F,N,Body surfing,Afternoon
M,N,Standing,Morning
F,N,Swimming,Afternoon
M,N,Boogie boarding,Afternoon
M,N,Boogie boarding,Afternoon
M,N,Swimming,Evening
M,N,Swimming,Morning
M,N,Spearfishing,Afternoon
M,N,Surfing,Evening
M,N,Body boarding,Evening
M,N,Standing,Evening
M,N,Body boarding,Morning
F,N,Body boarding,Morning
F,N,Wading,Morning
M,N,Wading,Morning
F,Y,Swimming,Morning
M,Y,Swimming,Afternoon
M,N,Kite Surfing,Evening
M,N,Kitesurfing,Afternoon
M,Y,Spearfishing / Free diving,Afternoon
M,N,Surfing,Evening
M,N,Snorkeling,Morning
M,N,Boogie boarding,Morning
M,Y,Kayaking / Fishing,Morning
M,Y,Body boarding,Afternoon
F,N,Snorkeling,Afternoon
M,N,Shark fishing,Morning
M,N,Kiteboarding,Afternoon
M,N,Body boarding,Afternoon
M,N,Diving for crayfish,Morning
M,N,Diving ,Afternoon
M,Y,Swimming / snorkeling,Morning
M,N,Diving for Abalone,Morning
M,N,Wading,Afternoon
M,N,Diving,Morning
M,N,Standing,Morning
F,N,Surfing,Afternoon
M,N,Standing,Afternoon
M,N,Casting a net,Afternoon
M,N,Swimming,Night
M,N,Longline fishing for sharks,Evening
F,N,Boogie boarding,Evening
M,N,Wrangling a shark,Afternoon
F,N,Surfing,Afternoon
F,Y,Snorkeling,Afternoon
F,N,Kiteboarding,Afternoon
M,N,Fishing,Afternoon
F,N,Snorkeling,Morning
M,N,Spearfishing,Afternoon
M,N,Surfing,Afternoon
M,N,Cleaning fish,Afternoon
M,N,Diving,Morning
F,Y,Swimming,Afternoon
F,N,Walking in surf,Afternoon
F,Y,Swimming & snorkeling,Afternoon
F,N,Wading,Afternoon
M,N,Kayaking / Fishing,Afternoon
M,N,Swimming,Afternoon
M,N,Swimming,Afternoon
M,N,Swimming,Afternoon
M,Y,Body boarding,Morning
F,N,Swimming,Afternoon
M,N,Fishing,Afternoon
M,N,Playing in the surf,Morning
M,N,Kite boarding,Afternoon
M,N,Fishing - 'tag & release',Morning
M,Y,Spearfishing,Morning
M,N,Spearfishing,Morning
M,Y,Swimming,Afternoon
M,N,Spearfishing / Free diving,Morning
M,N,Swimming,Afternoon
M,N,Surfing,Afternoon
M,N,Paddle boarding,Morning
M,N,Surfing,Afternoon
M,N,Spearfishing,Afternoon
M,N,Snorkeling,Morning
M,Y,Swimming,Morning
M,N,Diving,Morning
M,N,Surfing,Morning
F,N,Swimming,Afternoon
M,Y,Surfing,Morning
M,N,Windsurfing,Evening
M,N,Bodyboarding,Afternoon
M,N,Surfing,Morning
F,N,Boogie boarding,Evening
F,N,Swimming or boogie boarding,Afternoon
M,N,Surfing,Afternoon
M,N,Surfing,Evening
M,N,Surfing,Afternoon
M,N,Surfing,Afternoon
M,N,Body surfing,Afternoon
M,Y,Surfing,Afternoon
M,Y,Surfing,Morning
F,N,Swimming,Evening
M,N,Kayaking,Morning
F,N,Sitting in the water,Morning
M,N,Swimming,Afternoon
M,N,Surf skiing ,Morning
M,N,Fishing,Afternoon
M,N,Surf skiing ,Afternoon
M,N,Boogie Boarding,Evening
F,N,Wading,Afternoon
M,N,Free diving / spearfishing,Morning
M,N,Kayaking / Fishing,Afternoon
F,N,Swimming,Morning
F,N,Paddle boarding,Morning
M,N,Surfing,Evening
M,Y,Body boarding,Afternoon
M,N,Surfing,Afternoon
M,Y,Scuba diving,Morning
M,N,Surfing,Afternoon
M,N,Surfing,Afternoon
F,N,"Diving, feeding sharks",Morning
M,N,Body boarding,Afternoon
M,N,Kite Surfing,Afternoon
M,N,Kite Surfing,Afternoon
M,N,Fishing,Afternoon
M,Y,Swimming,Afternoon
M,N,Surfing,Evening
M,N,Surfing,Morning
F,N,Surfing,Morning
M,Y,Diving,Afternoon
M,N,Diving,Afternoon
M,Y,Swimming,Morning
M,N,Canoeing,Morning
M,N,Jumping in the waves,Morning
M,N,Canoeing,Afternoon
M,Y,Body boarding,Afternoon
M,N,Surfing,Afternoon
M,Y,Body boarding,Afternoon
F,N,Wade Fishing,Evening
M,Y,Surfing,Morning
F,N,Wading,Evening
M,Y,Swimming or Snorkeling,Afternoon
M,Y,Diving,Afternoon
F,N,Boogie Boarding,Evening
M,N,Kayaking or Wave skiing,Evening
M,N,Surf fishing,Evening
M,N,Scuba diving,Afternoon
M,N,Swimming,Evening
M,N,Surfing,Afternoon
M,N,Kayaking,Morning
M,N,Scuba diving,Afternoon
M,Y,Surfing,Afternoon
M,Y,Boogie Boarding,Evening
M,N,Scuba diving,Afternoon
M,N,Wading,Afternoon
F,N,Standing or boogie boardin,Afternoon
F,N,Surfing,Afternoon
F,N,Paddle boarding,Afternoon
M,Y,Kite Boarding,Morning
M,N,Washing sand off a speared fish,Afternoon
M,N,Surfing ,Afternoon
M,N,Surfing,Evening
M,N,Diving / fishing,Afternoon
F,N,Wakeboarding,Afternoon
M,N,Fishing,Morning
M,Y,Diving for abalone,Evening
M,N,Fishing,Morning
M,N,Scuba diving,Afternoon
M,Y,Surfing,Afternoon
M,N,Body boarding,Afternoon
M,N,Surfing,Afternoon
F,Y,Snorkeling,Afternoon
M,N,Snorkeling,Morning
F,N,Snorkeling,Afternoon
F,N,Snorkeling,Afternoon
M,N,Surfing,Afternoon
M,Y,Body boarding,Morning
M,N,Swimming /  Whale Watching,Afternoon
M,N,Boogie Boarding,Morning
M,Y,Surfing,Morning
F,N,Fishing,Evening
M,N,Kayaking,Afternoon
F,N,Standing,Morning
M,N,Swimming,Morning
M,N,Swimming,Evening
M,N,Fishing,Afternoon
M,N,Stand-Up Paddleboarding,Afternoon
F,N,Boogie Boarding,Afternoon
M,N,Fishing,Morning
F,N,Rescuing,Evening
M,N,Scuba diving,Morning
F,N,Wading,Morning
M,N,Swimming / treading water,Afternoon
F,N,Snorkeling,Afternoon
M,N,Body boarding,Afternoon
M,N,Surf fishing / wading,Afternoon
M,Y,Kite Boarding,Afternoon
F,N,Boogie Boarding,Evening
M,Y,Standing,Afternoon
M,N,Bathing,Morning
M,N,Spearfishing,Morning
M,N,Wading,Morning
M,N,Spearfishing,Morning
M,Y,Paddling on kneeboard,Afternoon
M,N,Fishing,Afternoon
F,N,Surfing,Afternoon
F,N,Paddle-boarding,Morning
F,N,Wading,Evening
M,N,Diving,Afternoon
M,N,Fishing,Afternoon
M,N,Swimming,Evening
M,Y,Swimming,Night
M,Y,Surfing,Afternoon
F,N,Swimming,Afternoon
M,N,Wade Fishing,Morning
M,N,Paddle-surfing,Morning
F,N,Boogie Boarding,Afternoon
M,N,Fishing,Evening
M,N,Swimming,Evening
M,N,Surfing,Morning
M,N,Surfing,Morning
M,N,Surfing,Morning
M,N,Surfing,Afternoon
M,N,Surf skiing ,Morning
M,N,Spearfishing,Morning
F,N,Surfing,Morning
F,N,Surfing,Evening
M,N,Swimming,Evening
M,Y,Surfing,Morning
M,N,Fishing,Afternoon
M,N,Fishing,Morning
M,N,Surfing,Evening
M,N,Spearfishing,Morning
M,Y,Swimming,Afternoon
M,N,Fishing,Morning
M,N,Snorkeling,Morning
M,Y,Snorkeling,Morning
M,N,Kayaking,Afternoon
M,N,Scuba diving,Evening
M,N,Spearfishing,Morning
M,N,Fishing,Afternoon
M,N,Spearfishing,Afternoon
M,N,"Swimming, towing surfboard",Afternoon
F,N,Wading,Afternoon
M,N,Diving,Afternoon
M,N,Swimming or surfing,Evening
F,N,Wading,Afternoon
M,N,Wading,Afternoon
F,N,Swimming,Evening
M,N,Surf skiing ,Afternoon
M,N,Swimming,Morning
F,N,Kayaking,Morning
F,N,Wading,Morning
F,N,Body surfing,Evening
M,N,Swimming,Morning
M,N,Surfing,Morning
M,Y,Swimming,Morning
M,Y,Body boarding,Morning
M,N,Walking out of the water after surfing,Afternoon
M,N,Surfing,Evening
M,N,Walking out of the water after surfing,Morning
M,N,Wading,Afternoon
M,Y,Diving,Morning
M,N,Accidentally stood on hooked shark's tail before attempting to gut it ,Morning
M,N,Surfing,Afternoon
M,N,Floating,Afternoon
F,N,Surf-skiing,Morning
M,Y,"The 426-ton cargo ship Mia, laden with cement, capsized in heavy seas ",Afternoon
F,N,Spearfishing,Afternoon
F,N,Surfing,Morning
F,N,Swimming,Morning
M,N,Surfing,Evening
M,N,Wading?,Morning
M,N,Snorkeling,Afternoon
F,N,Wading,Morning
F,N,Wading,Afternoon
M,N,Standing,Evening
M,N,Swimming,Morning
M,N,Surfing,Morning
M,N,Fishing,Evening
M,N,Swimming,Evening
M,N,Surfing,Afternoon
M,N,Playing,Morning
F,N,Swimming,Evening
M,N,Walking out of the water after surfing,Evening
M,N,Swimming,Afternoon
M,N,Boogie Boarding,Afternoon
M,N,Surfing,Night
M,N,Kayak Fishing,Morning
M,N,Snorkeling,Afternoon
M,N,Wading,Morning
M,N,Swimming,Afternoon
F,N,Spearfishing,Morning
F,N,Swimming,Morning
M,N,Surfing,Morning
F,N,Wading,Afternoon
F,N,Snorkeling,Morning
F,N,Swimming / jumping off a jetty,Evening
M,N,Body boarding,Afternoon
M,N,Playing on a sandbar,Afternoon
F,N,Surfing,Morning
F,N,Swimming,Afternoon
M,N,Boogie Boarding,Morning
M,N,Spearfishing (free diving),Afternoon
M,N,Diving,Morning
M,N,Surfing,Morning
M,N,Surfing,Morning
M,N,Body boarding,Morning
M,N,Playing soccer in the water,Afternoon
M,N,Standing,Evening
M,N,Swimming,Evening
M,N,Body boarding,Evening
M,N,Lifesaving drill,Morning
F,N,Wading,Afternoon
M,N,Surf-skiing,Afternoon
M,N,Surfing,Afternoon
M,N,Standing,Morning
M,N,Wading,Evening
M,N,Walking,Afternoon
F,N,Body boarding,Morning
F,N,Body boarding,Morning
M,Y,Body boarding,Morning
M,N,Scuba diving,Morning
F,N,Playing,Afternoon
M,N,Spearfishing,Afternoon
M,N,Spearfishing,Afternoon
F,N,Scuba diving,Afternoon
M,N,Snorkeling,Afternoon
M,N,Body boarding,Evening
F,N,Standing,Afternoon
F,Y,Swimming,Evening
M,N,Spearfishing,Afternoon
M,N,Night Surfing,Night
M,N,Scuba diving,Morning
F,Y,Swimming,Evening
M,N,Swimming,Morning
M,N,Fishing for sharks,Afternoon
M,N,Surfing,Morning
M,N,Standing,Morning
F,N,Surfing,Morning
M,N,Wading,Evening
F,N,Scuba diving,Afternoon
M,N,Treading water/ Surfing,Afternoon
M,N,Surf-skiing,Afternoon
M,N,Surfing,Afternoon
F,N,Body surfing,Afternoon
M,Y,Surfing,Afternoon
M,N,Standing / Surfing,Morning
M,Y,Scuba diving,Afternoon
M,N,Walking,Evening
F,N,Wading,Evening
F,N,Holding onto an inflatable boat,Afternoon
M,N,Standing,Morning
M,N,Fishing,Morning
F,Y,Swimming with boogie board,Morning
M,Y,Spearfishing (Free diving),Afternoon
F,N,Crouching in 2' of water,Evening
M,N,Fishing,Night
M,N,Surfing,Morning
M,Y,Snorkeling,Afternoon
M,N,Diving in aquarium display tank,Afternoon
M,N,Fishing from a kayak,Afternoon
M,Y,Scurfing (surfboard being  towed behind a boat),Afternoon
M,Y,Spearfishing,Afternoon
F,Y,Swimming,Morning
M,N,Snorkeling,Morning
M,N,Spearfishing,Afternoon
M,N,Body boarding,Afternoon
F,N,Jumping,Afternoon
F,N,Walking,Evening
M,N,Bathing,Afternoon
M,Y,Diving,Afternoon
M,N,Wading / fishing & carrying a bag of fish,Evening
M,Y,Surfing,Afternoon
M,N,Wading,Afternoon
M,Y,"Swimming, poaching perlemoen",Afternoon
M,N,Wading,Evening
M,N,Boogie-boarding / swimming,Afternoon
F,N,Wading,Afternoon
M,N,Free diving & spearfishing,Afternoon
M,N,Tandem surfing,Afternoon
M,Y,Surfing,Morning
F,N,Snorkeling,Morning
M,N,Spearfishing,Afternoon
M,N,Scuba diving,Morning
M,N,Swimming,Afternoon
M,N,Surfing amid a shoal of sharks,Morning
F,N,Surfing,Afternoon
F,N,Surfing,Morning
M,N,Sitting on surfboard,Afternoon
F,N,Wading near a fishing net,Afternoon
M,N,Surfing,Afternoon
M,N,Body boarding,Evening
M,Y,Body boarding,Afternoon
M,N,Fishing,Afternoon
F,Y,"Swimming, wearing black wetsuit & swim fins",Morning
M,N,Sitting on surfboard,Morning
M,N,Surfing,Afternoon
F,N,Wading,Afternoon
M,N,Spearfishing,Afternoon
M,N,"Walking, carrying surfboard & stepped on shark",Morning
M,N,Spearfishing,Afternoon
M,N,Surfing,Afternoon
M,N,Swimming with pod of dolphins,Morning
M,N,Wading,Afternoon
M,N,Surfing,Morning
F,N,Walking,Afternoon
M,N,Swimming ,Evening
M,N,Jumping,Afternoon
M,N,Surfing,Morning
M,N,Swimming (using a float),Afternoon
M,N,Scuba diving,Morning
M,Y,Swimming,Night
F,N,Swimming,Morning
F,N,Snorkeling,Morning
M,N,Surfing,Afternoon
M,N,Boogie boarding,Afternoon
F,N,Swimming,Morning
M,Y,Swimming,Afternoon
M,N,Surfing,Afternoon
M,N,Fishing from Surfboard,Afternoon
M,N,Surf skiing,Afternoon
M,N,Boogie boarding,Afternoon
M,N,"Wading, when he stepped on the shark",Evening
M,N,Surfing,Afternoon
M,N,Standing,Afternoon
F,N,Standing,Evening
F,N,Swimming,Afternoon
M,N,Surfing,Morning
M,N,Surfing,Afternoon
M,N,Floating on a raft,Afternoon
M,N,"Fishing, removing the shark from his line",Evening
M,N,Playing in the surf with his 2 dogs,Morning
M,Y,Scallop diving (using surface-supplied air & a POD) ,Afternoon
M,N,"Surfing, but standing in water alongside board",Morning
M,N,Surfing,Morning
M,N,Swimming,Evening
M,N,Standing,Morning
M,N,Wading,Afternoon
M,N,Swimming / Wading,Morning
M,N,Body-boarding,Afternoon
F,N,Wading,Morning
M,Y,Swimming,Evening
M,N,Swimming /  boogie boarding,Afternoon
M,N,Surfing,Morning
M,N,Kayaking,Evening
M,N,Fishing,Night
M,N,Snorkeling,Afternoon
M,N,"Surfing, fell off surfboard & stepped on the shark.",Afternoon
M,Y,Wreck / Technical diving,Afternoon
M,N,Boogie boarding,Afternoon
M,N,Walking in shallows,Evening
M,Y,Swimming ,Evening
F,N,Standing,Afternoon
M,N,Wading,Afternoon
M,N,Boogie Boarding,Afternoon
M,N,Surfing,Afternoon
F,N,Surfing,Afternoon
F,N,Surfing,Morning
M,N,Swimming,Morning
M,N,Boogie boarding,Afternoon
M,N,Floating face-down in knee-deep water,Evening
M,N,Boogie boarding,Afternoon
M,N,Body boarding,Afternoon
M,N,Surfing,Morning
M,N,Surfing,Afternoon
M,N,Standing alongside surfboard,Afternoon
M,N,Body-boarding,Afternoon
M,N,Surfing,Afternoon
M,Y,Swimming back from anchored sailboat,Afternoon
M,N,Spearfishing,Morning
M,N,Swimming,Morning
M,Y,Swimming,Morning
F,N,Swimming / snorkeling,Morning
M,N,Body surfing,Afternoon
M,N,Sitting on surfboard,Morning
M,Y,Surfing,Afternoon
M,Y,Surfing,Morning
M,Y,Surfing,Evening
M,N,Standing / surfing,Evening
M,N,Swimming / Body surfing,Afternoon
M,N,Swimming,Evening
M,N,Free diving,Morning
M,N,Wading,Morning
M,N,Surfing,Evening
M,N,Swimming,Afternoon
M,Y,Jumped into the water,Afternoon
M,N,"Windsurfing, but sitting on his board",Morning
M,N,Surfing / Wading,Afternoon
F,N,Standing,Afternoon
M,N,Wading,Afternoon
M,N,Swimming ,Evening
F,N,Playing,Afternoon
F,N,"Spearfishing, holding mesh bag with speared fish",Afternoon
F,N,Standing,Afternoon
M,N,Standing,Morning
M,N,Swimming,Morning
M,N,Swimming ,Morning
M,N,Snorkeling,Afternoon
M,N,Walking,Morning
M,N,Boogie boarding / wading,Afternoon
F,N,Boogie boarding,Morning
M,N,Body surfing,Afternoon
F,N,Swimming,Evening
M,N,"Spearfishing, but swimming at surface",Morning
M,N,Body surfing,Afternoon
M,N,"Surfing, lying on surfboard",Evening
M,N,Wading to shore after surfing,Evening
M,N,Kayaking,Evening
M,N,Wading with surfboard,Evening
M,N,Surfing,Evening
M,N,Lying prone in 2' of water,Evening
M,N,Body surfing,Morning
M,N,Spearfishing & holding catch,Evening
M,N,Swimming with dolphins,Evening
M,N,Surfing,Morning
M,Y,Boogie boarding,Morning
M,N,Surfing,Morning
M,N,Splashing / wading,Afternoon
M,Y,Windsurfing,Afternoon
F,N,Swimming,Morning
M,Y,Swimming after being swept into sea by a large wave,Morning
F,Y,"Swimming, towing a kayak",Evening
F,N,Swimming near pod of whales,Morning
F,N,Standing,Afternoon
M,N,Surfing,Afternoon
M,N,Surfing,Evening
M,N,Boogie boarding,Afternoon
M,Y,Free diving for abalone,Afternoon
M,Y,Body Boarding,Morning
M,N,Swimming / surfing,Afternoon
M,N,Body boarding,Afternoon
F,Y,Towing rubber dinghy,Afternoon
M,N,Snorkeling  hunting crayfish and abalone,Evening
M,N,Swimming,Morning
M,Y,Spearfishing,Afternoon
M,N,Body boarding or surfing,Morning
M,N,Surfing,Evening
F,N,Swimming,Morning
M,N,Walking / surfing,Morning
M,N,Surfing (sitting on his board),Afternoon
F,N,Floating on raft,Afternoon
M,N,Boogie boarding,Morning
M,N,Body surfing,Afternoon
M,N,Wading / Surfing,Morning
M,N,Surfing,Afternoon
M,Y,Surfing,Afternoon
M,N,Spearfishing / night diving,Night
F,N,Snorkeling,Afternoon
M,N,"Body surfing, stood up on sandbar",Morning
M,Y,Windsurfing,Evening
M,N,Surfing,Morning
M,N,Swimming,Afternoon
M,N,Diving for abalone,Morning
M,N,Surfing / Swimming,Afternoon
M,N,Standing,Evening
M,N,Sitting on surfboard,Afternoon
M,N,Spearfishing,Morning
M,N,Body Boarding,Afternoon
M,N,Free diving for abalone,Morning
